Month,TagName,Questions
2008-08-01,python,124
2008-09-01,python,543
2008-09-01,r,6
2008-10-01,python,511
2008-11-01,python,453
2008-11-01,r,1
2008-12-01,python,441
2008-12-01,r,1
2009-01-01,python,631
2009-01-01,r,8
2009-02-01,python,631
2009-02-01,r,9
2009-03-01,python,765
2009-03-01,r,4
2009-04-01,python,768
2009-04-01,r,12
2009-05-01,python,1002
2009-05-01,r,2
2009-06-01,python,1046
2009-06-01,r,5
2009-07-01,python,1163
2009-07-01,r,51
2009-08-01,python,1141
2009-08-01,r,47
2009-09-01,python,1168
2009-09-01,r,139
2009-10-01,python,1422
2009-10-01,r,73
2009-11-01,python,1560
2009-11-01,r,94
2009-12-01,python,1590
2009-12-01,r,80
2010-01-01,python,1952
2010-01-01,r,94
2010-02-01,python,1867
2010-02-01,r,122
2010-03-01,python,2072
2010-03-01,r,139
2010-04-01,python,1817
2010-04-01,r,160
2010-05-01,python,2011
2010-05-01,r,139
2010-06-01,python,2208
2010-06-01,r,178
2010-07-01,python,2600
2010-07-01,r,234
2010-08-01,python,2495
2010-08-01,r,283
2010-09-01,python,2254
2010-09-01,r,236
2010-10-01,python,2669
2010-10-01,r,214
2010-11-01,python,2617
2010-11-01,r,242
2010-12-01,python,2484
2010-12-01,r,223
2011-01-01,python,2912
2011-01-01,r,250
2011-02-01,python,3021
2011-02-01,r,322
2011-03-01,python,3758
2011-03-01,r,422
2011-04-01,python,3350
2011-04-01,r,476
2011-05-01,python,3532
2011-05-01,r,427
2011-06-01,python,3479
2011-06-01,r,444
2011-07-01,python,3679
2011-07-01,r,454
2011-08-01,python,3842
2011-08-01,r,586
2011-09-01,python,3526
2011-09-01,r,612
2011-10-01,python,3636
2011-10-01,r,621
2011-11-01,python,3884
2011-11-01,r,608
2011-12-01,python,3634
2011-12-01,r,614
2012-01-01,python,4223
2012-01-01,r,690
2012-02-01,python,4515
2012-02-01,r,814
2012-03-01,python,5069
2012-03-01,r,891
2012-04-01,python,4941
2012-04-01,r,847
2012-05-01,python,5127
2012-05-01,r,882
2012-06-01,python,5296
2012-06-01,r,975
2012-07-01,python,5747
2012-07-01,r,1124
2012-08-01,python,5880
2012-08-01,r,1092
2012-09-01,python,5269
2012-09-01,r,1060
2012-10-01,python,6148
2012-10-01,r,1268
2012-11-01,python,6409
2012-11-01,r,1348
2012-12-01,python,5771
2012-12-01,r,1219
2013-01-01,python,6607
2013-01-01,r,1513
2013-02-01,python,6791
2013-02-01,r,1674
2013-03-01,python,7680
2013-03-01,r,1856
2013-04-01,python,7976
2013-04-01,r,1847
2013-05-01,python,7851
2013-05-01,r,1790
2013-06-01,python,7639
2013-06-01,r,1781
2013-07-01,python,8652
2013-07-01,r,1979
2013-08-01,python,7969
2013-08-01,r,1929
2013-09-01,python,7995
2013-09-01,r,1719
2013-10-01,python,9535
2013-10-01,r,2103
2013-11-01,python,9532
2013-11-01,r,2193
2013-12-01,python,8495
2013-12-01,r,1911
2014-01-01,python,9877
2014-01-01,r,2359
2014-02-01,python,9950
2014-02-01,r,2623
2014-03-01,python,11471
2014-03-01,r,2828
2014-04-01,python,10827
2014-04-01,r,2747
2014-05-01,python,9316
2014-05-01,r,2601
2014-06-01,python,8964
2014-06-01,r,2406
